,Unnamed: 0,Word,Meaning
3398,5053,babiroussa,Alt. of Babirussa
3399,5054,babirussa,"A large hoglike quadruped (Sus, / Porcus, babirussa) of the East Indies, sometimes domesticated"
3400,5055,babish,Like a babe
3401,5056,babism,"The doctrine of a modern religious sect, which originated in Persia in 1843, being a mixture of Mohammedan, Christian, Jewish and Parsee elements."
3402,5057,babist,A believer in Babism.
3403,5058,bablah,The ring of the fruit of several East Indian species of acacia
3404,5059,baboo,Alt. of Babu
3405,5060,babu,A Hindoo gentleman
3406,5061,baboon,"One of the Old World Quadrumana, of the genera Cynocephalus and Papio"
3407,5062,baboonery,Baboonish behavior.
3408,5063,baboonish,Like a baboon.
3409,5064,babies,of Baby
3410,5065,baby,An infant or young child of either sex
3411,5068,babied,of Baby
3412,5069,babying,of Baby
3413,5071,baby farm,A place where the nourishment and care of babies are offered for hire.
3414,5072,baby farmer,One who keeps a baby farm.
3415,5073,baby farming,The business of keeping a baby farm.
3416,5074,babyhood,The state or period of infancy.
3417,5075,babyhouse,A place for children's dolls and dolls' furniture.
3418,5076,babyish,Like a baby
3419,5077,babyism,The state of being a baby.
3420,5079,baby jumper,"A hoop suspended by an elastic strap, in which a young child may be held secure while amusing itself by jumping on the floor."
3421,5080,babylonian,"Of or pertaining to the real or to the mystical Babylon, or to the ancient kingdom of Babylonia"
3422,5083,babylonic,Alt. of Babylonical
3423,5084,babylonical,"Pertaining to Babylon, or made there"
3424,5086,babylonish,"Of or pertaining to, or made in, Babylon or Babylonia."
3425,5090,babyroussa,Alt. of Babyrussa
3426,5091,babyrussa,See Babyroussa.
3427,5092,babyship,The quality of being a baby
3428,5093,bac,"A broad, flatbottomed ferryboat, usually worked by a rope."
3429,5095,baccalaureate,"The degree of bachelor of arts. (B.A. or A.B.), the first or lowest academical degree conferred by universities and colleges."
3430,5098,baccara,Alt. of Baccarat
3431,5099,baccarat,"A French game of cards, played by a banker and punters."
3432,5100,baccare,Alt. of Backare
3433,5101,backare,"Stand back! give place! -- a cant word of the Elizabethan writers, probably in ridicule of some person who pretended to a knowledge of Latin which he did not possess."
3434,5102,baccate,"Pulpy throughout, like a berry"
3435,5103,baccated,Having many berries.
3436,5105,bacchanal,Relating to Bacchus or his festival.
3437,5111,bacchanalia,A feast or an orgy in honor of Bacchus.
3438,5113,bacchanalian,Of or pertaining to the festival of Bacchus
3439,5115,bacchanalianism,The practice of bacchanalians
3440,5116,bacchants,of Bacchant
3441,5117,bacchantes,of Bacchant
3442,5118,bacchant,A priest of Bacchus.
3443,5122,bacchante,A priestess of Bacchus.
3444,5124,bacchantic,Bacchanalian.
3445,5125,bacchic,Alt. of Bacchical
3446,5126,bacchical,Of or relating to Bacchus
3447,5127,bacchii,of Bacchius
3448,5128,bacchius,A metrical foot composed of a short syllable and two long ones
3449,5129,bacchus,"The god of wine, son of Jupiter and Semele."
3450,5130,bacciferous,Producing berries.
3451,5131,bacciform,Having the form of a berry.
3452,5132,baccivorous,"Eating, or subsisting on, berries"
3453,5133,bace,See Base.
3454,5134,bacharach,Alt. of Backarack
3455,5135,backarack,A kind of wine made at Bacharach on the Rhine.
3456,5136,bachelor,A man of any age who has not been married.
3457,5142,bachelordom,The state of bachelorhood
3458,5143,bachelorhood,The state or condition of being a bachelor
3459,5144,bachelorism,Bachelorhood
3460,5145,bachelor's button,A plant with flowers shaped like buttons
3461,5146,bachelorship,The state of being a bachelor.
3462,5147,bachelry,The body of young aspirants for knighthood.
3463,5148,bacillar,Shaped like a rod or staff.
3464,5149,bacillariae,See Diatom.
3465,5150,bacillary,Of or pertaining to little rods
3466,5151,bacilliform,Rod-shaped.
3467,5152,bacilli,of Bacillus
3468,5153,bacillus,A variety of bacterium
3469,5154,back,A large shallow vat
3470,5169,backed,of Back
3471,5170,backing,of Back
3472,5194,backband,The band which passes over the back of a horse and holds up the shafts of a carriage.
3473,5195,backbite,To wound by clandestine detraction
3474,5197,backbiter,One who backbites
3475,5198,backbiting,Secret slander
3476,5199,backboard,A board which supports the back wen one is sitting
3477,5204,backbond,"An instrument which, in conjunction with another making an absolute disposition, constitutes a trust."
3478,5205,backbone,The column of bones in the back which sustains and gives firmness to the frame
3479,5208,backboned,Vertebrate.
3480,5209,backcast,"Anything which brings misfortune upon one, or causes failure in an effort or enterprise"
3481,5210,back door,A door in the back part of a building
3482,5211,backdoor,Acting from behind and in concealment
3483,5212,backdown,A receding or giving up
3484,5214,backer,"One who, or that which, backs"
3485,5215,backfall,A fall or throw on the back in wrestling.
3486,5216,backfriend,A secret enemy.
3487,5217,backgammon,"A game of chance and skill, played by two persons on a ""board"" marked off into twenty-four spaces called ""points"". Each player has fifteen pieces, or ""men"", the movements of which from point to point are determined by throwing dice.  Formerly called tables."
3488,5219,background,"Ground in the rear or behind, or in the distance, as opposed to the foreground, or the ground in front."
3489,5223,backhand,A kind of handwriting in which the downward slope of the letters is from left to right.
3490,5226,backhanded,With the hand turned backward
3491,5229,backhandedness,State   of being backhanded
3492,5230,backhander,A backhanded blow.
3493,5231,backhouse,A building behind the main building. Specifically: A privy
3494,5236,backjoint,A rebate or chase in masonry left to receive a permanent slab or other filling.
3495,5237,backlash,"The distance through which one part of connected machinery, as a wheel, piston, or screw, can be moved without moving the connected parts, resulting from looseness in fitting or from wear"
3496,5238,backless,Without a back.
3497,5239,backlog,"A large stick of wood, forming the back of a fire on the hearth."
3498,5240,backpiece,Alt. of Backplate
3499,5241,backplate,"A piece, or plate which forms the back of anything, or which covers the back"
3500,5242,backrack,Alt. of Backrag
3501,5243,backrag,See Bacharach.
3502,5244,backs,"Among leather dealers, the thickest and stoutest tanned hides."
3503,5245,backsaw,A saw (as a tenon saw) whose blade is stiffened by an added metallic back.
3504,5246,backset,A check
3505,5249,backsettler,One living in the back or outlying districts of a community.
3506,5250,backsheesh,Alt. of Backshish
3507,5251,backshish,"In Egypt and the Turkish empire, a gratuity"
3508,5252,backside,"The hinder part, posteriors, or rump of a person or animal."
3509,5253,backsight,The reading of the leveling staff in its unchanged position when the leveling instrument has been taken to a new position
3510,5254,backslid,of Backslide
3511,5255,backslidden,of Backslide
3512,5257,backsliding,of Backslide
3513,5258,backslide,To slide back
3514,5259,backslider,One who backslides.
3515,5262,backstaff,"An instrument formerly used for taking the altitude of the heavenly bodies, but now superseded by the quadrant and sextant"
3516,5263,back stairs,"Stairs in the back part of a house, as distinguished from the front stairs"
3517,5264,backstairs,Alt. of Backstair
3518,5265,backstair,Private
3519,5266,backstay,"A rope or stay extending from the masthead to the side of a ship, slanting a little aft, to assist the shrouds in supporting the mast."
3520,5268,backster,A backer.
3521,5269,backstitch,"A stitch made by setting the needle back of the end of the last stitch, and bringing it out in front of the end."
3522,5271,backstress,A female baker.
3523,5272,backsword,A sword with one sharp edge.
3524,5274,backward,Alt. of Backwards
3525,5275,backwards,With the back in advance or foremost
3526,5290,backwardation,"The seller's postponement of delivery of stock or shares, with the consent of the buyer, upon payment of a premium to the latter"
3527,5291,backwardly,Reluctantly
3528,5293,backwardness,The state of being backward.
3529,5294,backwash,To clean the oil from (wood) after combing.
3530,5295,backwater,"Water turned back in its course by an obstruction, an opposing current , or the flow of the tide, as in a sewer or river channel, or across a river bar."
3531,5298,backwoods,The forests or partly cleared grounds on the frontiers.
3532,5299,backwoodsmen,of Backwoodsman
3533,5300,backwoodsman,"A man living in the forest in or beyond the new settlements, especially on the western frontiers of the older portions of the United States."
3534,5301,backworm,A disease of hawks. See Filanders.
3535,5302,bacon,The back and sides of a pig salted and smoked
3536,5303,baconian,"Of or pertaining to Lord Bacon, or to his system of philosophy."
3537,5304,bacteria,See Bacterium.
3538,5305,bacterial,Of or pertaining to bacteria.
3539,5306,bactericidal,Destructive of bacteria.
3540,5307,bactericide,Same as Germicide.
3541,5308,bacteriological,Of or pertaining to bacteriology
3542,5309,bacteriologist,One skilled in bacteriology.
3543,5310,bacteriology,The science relating to bacteria.
3544,5311,bacterioscopic,Relating   to   bacterioscopy
3545,5312,bacterioscopist,One   skilled   in    bacterioscopic examinations.
3546,5313,bacterioscopy,"The application of a knowledge of bacteria for their detection and identification, as in the examination of polluted water."
3547,5315,bacterium,"A microscopic vegetable organism, belonging to the class Algae, usually in the form of a jointed rodlike filament, and found in putrefying organic infusions.  Bacteria are destitute of chlorophyll, and are the smallest of microscopic organisms. They are very widely diffused in nature, and multiply with marvelous rapidity, both by fission and by spores. Certain species are active agents in fermentation, while others appear to be the cause of certain infectious diseases. See Bacillus."
3548,5316,bacteroid,Alt. of Bacteroidal
3549,5317,bacteroidal,Resembling bacteria
3550,5318,bactrian,Of or pertaining to Bactria in Asia.
3551,5320,bacule,See Bascule.
3552,5321,baculine,Of or pertaining to the rod or punishment with the rod.
3553,5322,baculite,"A cephalopod of the extinct genus Baculites, found fossil in the Cretaceous rocks. It is like an uncoiled ammonite."
3554,5323,baculometry,Measurement of distance or altitude by a staff or staffs.
3555,5324,bad,Bade.
3556,5326,badder,"compar. of Bad, a."
3557,5327,badderlocks,A large black seaweed (Alaria esculenta) sometimes eaten in Europe
3558,5328,baddish,Somewhat bad
3559,5329,bade,A form of the pat tense of Bid.
3560,5330,badge,"A distinctive mark, token, sign, or cognizance, worn on the person"
3561,5334,badgeless,Having no badge.
3562,5335,badger,An itinerant licensed dealer in commodities used for food
3563,5338,badgered,of Badger
3564,5339,badgering,of Badger
3565,5342,badgerer,One who badgers.
3566,5345,c,"C is the third letter of the English alphabet. It is from the Latin letter C, which in old Latin represented the sounds of k, and g (in go)"
3567,5350,caaba,"The small and nearly cubical stone building, toward which all Mohammedans must pray."
3568,5351,caas,Case.
3569,5352,cab,"A kind of close carriage with two or four wheels, usually a public vehicle."
3570,5355,cabal,Tradition
3571,5359,caballed,of Cabal
3572,5360,caballing,of Cabal
3573,5362,cabala,"A kind of occult theosophy or traditional interpretation of the Scriptures among Jewish rabbis and certain mediaeval Christians, which treats of the nature of god and the mystery of human existence. It assumes that every letter, word, number, and accent of Scripture contains a hidden sense"
3574,5364,cabalism,The secret science of the cabalists.
3575,5366,cabalist,"One versed in the cabala, or the mysteries of Jewish traditions."
3576,5367,cabalistic,Alt. of Cabalistical
3577,5368,cabalistical,Of or pertaining to the cabala
3578,5369,cabalistically,In a cabalistic manner.
3579,5370,cabalize,To use cabalistic language.
3580,5371,caballer,One who cabals.
3581,5372,caballine,Of or pertaining to a horse.
3582,5374,cabaret,A tavern
3583,5377,cabas,"A flat basket or frail for figs, etc."
3584,5378,cabassou,A species of armadillo of the genus Xenurus (X. unicinctus and X. hispidus)
3585,5379,cabbage,"An esculent vegetable of many varieties, derived from the wild Brassica oleracea of Europe. The common cabbage has a compact head of leaves. The cauliflower, Brussels sprouts, etc., are sometimes classed as cabbages."
3586,5383,cabbaged,of Cabbage
3587,5384,cabbaging,of Cabbage
3588,5387,cabbler,One who works at cabbling.
3589,5388,cabbling,"The process of breaking up the flat masses into which wrought iron is first hammered, in order that the pieces may be reheated and wrought into bar iron."
3590,5389,cabeca,Alt. of Cabesse
3591,5390,cabesse,The finest kind of silk received from India.
3592,5391,caber,A pole or beam used in Scottish games for tossing as a trial of strength.
3593,5392,cabezon,"A California fish (Hemilepidotus spinosus), allied to the sculpin."
3594,5393,cabiai,The capybara. See Capybara.
3595,5394,cabin,A cottage or small house
3596,5397,cabined,of Cabin
3597,5398,cabining,of Cabin
3598,5401,cabinet,A hut
3599,5409,cabineting,of Cabinet
3600,5411,cabinetmaker,"One whose occupation is to make cabinets or other choice articles of household furniture, as tables, bedsteads, bureaus, etc."
3601,5412,cabinetmaking,The art or occupation of making the finer articles of household furniture.
3602,5413,cabinetwork,The art or occupation of working upon wooden furniture requiring nice workmanship
3603,5414,cabirean,One of the Cabiri.
3604,5415,cabbiri,Certain deities originally worshiped with mystical rites by the Pelasgians in Lemnos and Samothrace and afterwards throughout Greece
3605,5416,cabirian,Same as Cabiric.
3606,5417,cabiric,"Of or pertaining to the Cabiri, or to their mystical worship."
3607,5418,cable,"A large, strong rope or chain, of considerable length, used to retain a vessel at anchor, and for other purposes. It is made of hemp, of steel wire, or of iron links."
3608,5423,cabled,of Cable
3609,5424,cabling,of Cable
3610,5428,cablegram,A message sent by a submarine telegraphic cable.
3611,5429,cablelaid,"Composed of three three-stranded ropes, or hawsers, twisted together to form a cable."
3612,5431,cablet,A little cable less than ten inches in circumference.
3613,5433,cabmen,of Cabman
3614,5434,cabman,The driver of a cab.
3615,5435,cabob,A small piece of mutton or other meat roasted on a skewer
3616,5438,caboched,"Showing the full face, but nothing of the neck"
3617,5439,caboodle,The whole collection
3618,5440,caboose,"A house on deck, where the cooking is done"
3619,5442,cabotage,Navigation along the coast
3620,5443,cabree,The pronghorn antelope.
3621,5444,cabrerite,"An apple-green mineral, a hydrous arseniate of nickel, cobalt, and magnesia"
3622,5445,cabrilla,"A name applied to various species of edible fishes of the genus Serranus, and related genera, inhabiting the Meditarranean, the coast of California, etc.  In California, some of them are also called rock bass and kelp salmon."
3623,5446,cabriole,A curvet
3624,5447,cabriolet,A one-horse carriage with two seats and a calash top.
3625,5448,cabrit,Same as Cabree.
3626,5449,caburn,"A small line made of spun yarn, to bind or worm cables, seize tackles, etc."
3627,5450,cacaemia,Alt. of Cachaemia
3628,5451,cachaemia,A degenerated or poisoned condition of the blood.
3629,5452,cacaine,The essential principle of cacao
3630,5453,cacajao,A South American short-tailed monkey (Pithecia (/ Brachyurus) melanocephala).
3631,5454,cacao,"A small evergreen tree (Theobroma Cacao) of South America and the West Indies. Its fruit contains an edible pulp, inclosing seeds about the size of an almond, from which cocoa, chocolate, and broma are prepared."
3632,5455,cachalot,"The sperm whale (Physeter macrocephalus).  It has in the top of its head a large cavity, containing an oily fluid, which, after death, concretes into a whitish crystalline substance called spermaceti. See Sperm whale."
3633,5456,cache,"A hole in the ground, or hiding place, for concealing and preserving provisions which it is inconvenient to carry."
3634,5457,cachectic,Alt. of Cachectical
3635,5458,cachectical,"Having, or pertaining to, cachexia"
3636,5459,cachepot,"An ornamental casing for a flowerpot, of porcelain, metal, paper, etc."
3637,5460,cachet,"A seal, as of a letter."
3638,5461,cachexia,Alt. of Cachexy
3639,5462,cachexy,"A condition of ill health and impairment of nutrition due to impoverishment of the blood, esp. when caused by a specific morbid process (as cancer or tubercle)."
3640,5463,cachinnation,Loud or immoderate laughter
3641,5464,cachinnatory,"Consisting of, or accompanied by, immoderate laughter."
3642,5465,cachiri,"A fermented liquor made in Cayenne from the grated root of the manioc, and resembling perry."
3643,5466,cacholong,"An opaque or milk-white chalcedony, a variety of quartz"
3644,5467,cachou,"A silvered aromatic pill, used to correct the odor of the breath."
3645,5468,cachucha,"An Andalusian dance in three-four time, resembling the bolero."
3646,5469,cachunde,"A pastil or troche, composed of various aromatic and other ingredients, highly celebrated in India as an antidote, and as a stomachic and antispasmodic."
3647,5470,cacique,See Cazique.
3648,5471,cack,To ease the body by stool
3649,5472,cackerel,The mendole
3650,5473,cackled,of Cackle
3651,5474,cackling,of Cackle
3652,5475,cackle,"To make a sharp, broken noise or cry, as a hen or goose does."
3653,5480,cackler,A fowl that cackles.
3654,5483,cacochymia,Alt. of Cacochymy
3655,5484,cacochymy,"A vitiated state of the humors, or fluids, of the body, especially of the blood."
3656,5485,cacochymic,Alt. of Cacochymical
3657,5486,cacochymical,"Having the fluids of the body vitiated, especially the blood."
3658,5487,cacodemon,An evil spirit
3659,5489,cacodoxical,Heretical.
3660,5490,cacodoxy,Erroneous doctrine
3661,5491,cacodyl,Alkarsin
3662,5492,cacodylic,"Of, pertaining to, or derived from, cacodyl."
3663,5493,cacoethes,A bad custom or habit
3664,5495,cacogastric,Troubled with bad digestion.
3665,5496,cacographic,"Pertaining to, or characterized by, cacography"
3666,5497,cacography,Incorrect or bad writing or spelling.
3667,5498,cacolet,"A chair, litter, or other contrivance fitted to the back or pack saddle of a mule for carrying travelers in mountainous districts, or for the transportation of the sick and wounded of an army."
3668,5499,cacology,Bad speaking
3669,5500,cacomixle,Alt. of Cacomixl
3670,5501,cacomixtle,Alt. of Cacomixl
3671,5502,cacomixl,"A North American carnivore (Bassaris astuta), about the size of a cat, related to the raccoons. It inhabits Mexico, Texas, and California."
3672,5503,cacoon,"One of the seeds or large beans of a tropical vine (Entada scandens) used for making purses, scent bottles, etc."
3673,5504,cacophonic,Alt. of Cacophonious
3674,5505,cacophonical,Alt. of Cacophonious
3675,5506,cacophonous,Alt. of Cacophonious
3676,5507,cacophonious,Harsh-sounding.
3677,5508,cacophonies,of Cacophony
3678,5509,cacophony,"An uncouth or disagreable sound of words, owing to the concurrence of harsh letters or syllables."
3679,5512,cacotechny,A corruption or corrupt state of art.
3680,5513,cacoxene,Alt. of Cacoxenite
3681,5514,cacoxenite,A hydrous phosphate of iron occurring in yellow radiated tufts. The phosphorus seriously injures it as an iron ore.
3682,5515,cactaceous,"Belonging to, or like, the family of plants of which the prickly pear is a common example."
3683,5516,cactuses,of Cactus
3684,5517,cacti,of Cactus
3685,5518,cactus,"Any plant of the order Cactacae, as the prickly pear and the night-blooming cereus. See Cereus. They usually have leafless stems and branches, often beset with clustered thorns, and are mostly natives of the warmer parts of America."
3686,5519,cacuminal,Pertaining to the top of the palate
3687,5520,cacuminate,To make sharp or pointed.
3688,5521,cad,"A person who stands at the door of an omnibus to open and shut it, and to receive fares"
3689,5523,cadastral,Of or pertaining to landed property.
3690,5524,cadastre,Alt. of Cadaster
3691,5525,cadaster,An official statement of the quantity and value of real estate for the purpose of apportioning the taxes payable on such property.
3692,5526,cadaver,A dead human body
3693,5527,cadaveric,"Of, pertaining to, or resembling, a corpse, or the changes produced by death"
3694,5528,cadaverous,Having the appearance or color of a dead human body
3695,5530,cadbait,See Caddice.
3696,5531,caddice,Alt. of Caddis
3697,5532,caddis,"The larva of a caddice fly. These larvae generally live in cylindrical cases, open at each end, and covered externally with pieces of broken shells, gravel, bits of wood, etc.  They are a favorite bait with anglers. Called also caddice worm, or caddis worm."
3698,5534,caddish,Like a cad
3699,5535,caddow,A jackdaw.
3700,5536,caddies,of Caddy
3701,5537,caddy,"A small box, can, or chest to keep tea in."
3702,5538,cade,Bred by hand
3703,5542,cadence,The act or state of declining or sinking.
3704,5552,cadency,Descent of related families
3705,5553,cadene,A species of inferior carpet imported from the Levant.
3706,5554,cadent,Falling.
3707,5555,cadenza,"A parenthetic flourish or flight of ornament in the course of a piece, commonly just before the final cadence."
3708,5556,cader,See Cadre.
3709,5557,cadet,The younger of two brothers
3710,5560,cadetship,"The position, rank, or commission of a cadet"
3711,5561,cadew,Alt. of Cadeworm
3712,5562,cadeworm,A caddice. See Caddice.
3713,5563,cadged,of Cadge
3714,5564,cadging,of Cadge
3715,5565,cadge,"To carry, as a burden."
3716,5569,cadger,A packman or itinerant huckster.
3717,5572,cadgy,"Cheerful or mirthful, as after good eating or drinking"
3718,5573,cadi,"An inferior magistrate or judge among the Mohammedans, usually the judge of a town or village."
3719,5574,cadie,Alt. of Caddie
3720,5575,caddie,"A Scotch errand boy, porter, or messenger."
3721,5576,cadilesker,"A chief judge in the Turkish empire, so named originally because his jurisdiction extended to the cases of soldiers, who are now tried only by their own officers."
3722,5577,cadillac,"A large pear, shaped like a flattened top, used chiefly for cooking."
3723,5578,cadis,A kind of coarse serge.
3724,5579,cadmean,"Of or pertaining to Cadmus, a fabulous prince of Thebes, who was said to have introduced into Greece the sixteen simple letters of the alphabet -- /, /, /, /, /, /, /, /, /, /, /, /, /, /, /, /. These are called Cadmean letters."
3725,5580,cadmia,An oxide of zinc which collects on the sides of furnaces where zinc is sublimed. Formerly applied to the mineral calamine.
3726,5581,cadmian,See Cadmean.
3727,5582,cadmic,"Pertaining to, derived from, or containing, cadmium"
3728,5583,cadmium,"A comparatively rare element related to zinc, and occurring in some zinc ores. It is a white metal, both ductile and malleable. Symbol Cd. Atomic weight 111.8. It was discovered by Stromeyer in 1817, who named it from its association with zinc or zinc ore."
3729,5584,cadrans,An instrument with a graduated disk by means of which the angles of gems are measured in the process of cutting and polishing.
3730,5585,cadre,The framework or skeleton upon which a regiment is to be formed
3731,5586,caducary,"Relating to escheat, forfeiture, or confiscation."
3732,5587,caducean,"Of or belonging to Mercury's caduceus, or wand."
3733,5588,caduceus,"The official staff or wand of Hermes or Mercury, the messenger of the gods. It was originally said to be a herald's staff of olive wood, but was afterwards fabled to have two serpents coiled about it, and two wings at the top."
3734,5589,caducibranchiate,With temporary gills: -- applied to those Amphibia in which the gills do not remain in adult life.
3735,5590,caducity,Tendency to fall
3736,5591,caducous,"Dropping off or disappearing early, as the calyx of a poppy, or the gills of a tadpole."
3737,5592,caduke,Perishable
3738,5593,cady,See Cadie.
3739,5594,caeca,See Caecum.
3740,5595,caecal,"Of or pertaining to the caecum, or blind gut."
3741,5597,caecias,A wind from the northeast.
3742,5598,caecilian,A limbless amphibian belonging to the order Caeciliae or Ophimorpha. See Ophiomorpha.
3743,5599,caecums,of Caecum
3744,5601,caecum,"A cavity open at one end, as the blind end of a canal or duct."
3745,5603,caenozoic,See Cenozoic.
3746,5604,caen stone,"A cream-colored limestone for building, found near Caen, France."
3747,5605,caesar,"A Roman emperor, as being the successor of Augustus Caesar. Hence, a kaiser, or emperor of Germany, or any emperor or powerful ruler. See Kaiser, Kesar."
3748,5606,caesarean,Alt. of Caesarian
3749,5607,caesarian,Of or pertaining to Caesar or the Caesars
3750,5608,caesarism,"A system of government in which unrestricted power is exercised by a single person, to whom, as Caesar or emperor, it has been committed by the popular will"
3751,5609,caesious,Of the color of lavender
3752,5610,caesium,A rare alkaline metal found in mineral water
3753,5611,caespitose,Same as Cespitose.
3754,5612,caesuras,of Caesura
3755,5613,caesurae,of Caesura
3756,5614,caesura,"A metrical break in a verse, occurring in the middle of a foot and commonly near the middle of the verse"
3757,5615,caesural,Of or pertaining to a caesura.
3758,5616,cafe,A coffeehouse
3759,5617,cafenet,Alt. of Cafeneh
3760,5618,cafeneh,"A humble inn or house of rest for travelers, where coffee is sold."
3761,5619,caffeic,"Pertaining to, or obtained from, coffee."
3762,5620,caffeine,"A white, bitter, crystallizable substance, obtained from coffee. It is identical with the alkaloid theine from tea leaves, and with guaranine from guarana."
3763,5621,caffetannic,"Pertaining to, or derived from, the tannin of coffee."
3764,5622,caffila,See Cafila.
3765,5623,caffre,See Kaffir.
3766,5624,cafila,Alt. of Cafileh
3767,5625,cafileh,A caravan of travelers
3768,5626,caftan,"A garment worn throughout the Levant, consisting of a long gown with sleeves reaching below the hands. It is generally fastened by a belt or sash."
3769,5628,cag,See Keg.
3770,5629,cage,"A box or inclosure, wholly or partly of openwork, in wood or metal, used for confining birds or other animals."
3771,5637,caged,of Cage
3772,5638,caging,of Cage
3773,5641,cageling,A bird confined in a cage
3774,5642,cagit,"A kind of parrot, of a beautiful green color, found in the Philippine Islands."
3775,5643,cagmag,A tough old goose
3776,5644,cagot,"One of a race inhabiting the valleys of the Pyrenees, who until 1793 were political and social outcasts (Christian Pariahs). They are supposed to be a remnant of the Visigoths."
3777,5645,cahier,A number of sheets of paper put loosely together
3778,5647,cahincic,"Pertaining to, or derived from, cahinca, the native name of a species of Brazilian Chiococca, perhaps C. racemosa"
3779,5648,cahoot,Partnership
3780,5649,caimacam,The governor of a sanjak or district in Turkey.
3781,5650,caiman,See Cayman.
3782,5651,cainozoic,See Cenozic.
3783,5652,caique,A light skiff or rowboat used on the Bosporus
3784,5653,ca ira,The refrain of a famous song of the French Revolution.
3785,5654,caird,A traveling tinker
3786,5655,cairn,"A rounded or conical heap of stones erected by early inhabitants of the British Isles, apparently as a sepulchral monument."
3787,5657,cairngormstone,"A yellow or smoky brown variety of rock crystal, or crystallized quartz, found esp, in the mountain of Cairngorm, in Scotland."
3788,5658,caisson,A chest to hold ammunition.
3789,5665,caitiff,Captive
3790,5670,cajeput,See Cajuput.
3791,5671,cajoled,of Cajole
3792,5672,cajoling,of Cajole
3793,5673,cajole,To deceive with flattery or fair words
3794,5674,cajolement,The act of cajoling
3795,5675,cajoler,A flatterer
3796,5676,cajoleries,of Cajolery
3797,5677,cajolery,A wheedling to delude
3798,5678,cajuput,"A highly stimulating volatile inflammable oil, distilled from the leaves of an East Indian tree (Melaleuca cajuputi, etc.) It is greenish in color and has a camphoraceous odor and pungent taste."
3799,5679,cajuputene,A colorless or greenish oil extracted from cajuput.
3800,5680,cake,A small mass of dough baked
3801,5685,caked,of Cake
3802,5686,caking,of Cake
3803,5689,caking coal,See Coal.
3804,5690,cal,"Wolfram, an ore of tungsten."
3805,5691,calabar,A district on the west coast of Africa.
3806,5692,calabarine,An alkaloid resembling physostigmine and occurring with it in the calabar bean.
3807,5693,calabash,The common gourd (plant or fruit).
3808,5696,calaboose,A prison
3809,5697,calade,"A slope or declivity in a manege ground down which a horse is made to gallop, to give suppleness to his haunches."
3810,5698,caladium,"A genus of aroideous plants, of which some species are cultivated for their immense leaves (which are often curiously blotched with white and red), and others (in Polynesia) for food."
3811,5699,calaite,A mineral. See Turquoise.
3812,5700,calamanco,"A glossy woolen stuff, plain, striped, or checked."
3813,5701,calamander wood,"A valuable furniture wood from India and Ceylon, of a hazel-brown color, with black stripes, very hard in texture. It is a species of ebony, and is obtained from the Diospyros quaesita. Called also Coromandel wood."
3814,5702,calamar,Alt. of Calamary
3815,5703,calamary,"A cephalopod, belonging to the genus Loligo and related genera. There are many species. They have a sack of inklike fluid which they discharge from the siphon tube, when pursued or alarmed, in order to confuse their enemies. Their shell is a thin horny plate, within the flesh of the back, shaped very much like a quill pen. In America they are called squids. See Squid."
3816,5704,calambac,A fragrant wood
3817,5705,calambour,"A species of agalloch, or aloes wood, of a dusky or mottled color, of a light, friable texture, and less fragrant than calambac"
3818,5706,calamiferous,Producing reeds
3819,5707,calamine,"A mineral, the hydrous silicate of zinc."
3820,5708,calamint,"A genus of perennial plants (Calamintha) of the Mint family, esp. the C. Nepeta and C. Acinos, which are called also basil thyme."
3821,5709,calamist,One who plays upon a reed or pipe.
3822,5710,calamistrate,"To curl or friz, as the hair."
3823,5711,calamistration,The act or process of curling the hair.
3824,5712,calamistrum,"A comblike structure on the metatarsus of the hind legs of certain spiders (Ciniflonidae), used to curl certain fibers in the construction of their webs."
3825,5713,calamite,"A fossil plant of the coal formation, having the general form of plants of the modern Equiseta (the Horsetail or Scouring Rush family) but sometimes attaining the height of trees, and having the stem more or less woody within. See Acrogen, and Asterophyllite."
3826,5714,calamitous,Suffering calamity
3827,5716,calamities,of Calamity
3828,5717,calamity,Any great misfortune or cause of misery
3829,5719,calami,of Calamus
3830,5720,calamus,"The indian cane, a plant of the Palm family. It furnishes the common rattan. See Rattan, and Dragon's blood."
3831,5723,calando,Gradually diminishing in rapidity and loudness.
3832,5724,calash,"A light carriage with low wheels, having a top or hood that can be raised or lowered, seats for inside, a separate seat for the driver, and often a movable front, so that it can be used as either an open or a close carriage."
3833,5728,calaverite,A bronze-yellow massive mineral with metallic luster
3834,5729,calcaneal,Pertaining to the calcaneum
3835,5730,-neums,of Calcaneum
3836,5731,-nea,of Calcaneum
3837,5732,calcaneum,"One of the bones of the tarsus which in man, forms the great bone of the heel"
3838,5733,calcar,"A kind of oven, or reverberatory furnace, used for the calcination of sand and potash, and converting them into frit."
3839,5734,calcaria,of Calcar
3840,5739,calcarate,Alt. of Calcarated
3841,5740,calcarated,"Having a spur, as the flower of the toadflax and larkspur"
3842,5742,calcareo-argillaceous,"consisting of, or containing, calcareous and argillaceous earths."
3843,5743,calcareo-bituminous,"Consisting of, or containing, lime and bitumen."
3844,5744,calcareo-siliceous,"Consisting of, or containing calcareous and siliceous earths."
3845,5745,calcareous,Partaking of the nature of calcite or calcium carbonate
3846,5746,calcareousness,Quality of being calcareous.
3847,5747,calcariferous,Lime-yielding
